Model	STSB-Easy Error%	s	STSB-Hard F1	SICKR-Easy Error%
LLama3 ICL_4 (Ex. Same Content)	2.41	60.95	0.58	0.0
LLama3 ICL_4 (Paraph)	3.54	55.33	0.54	0.26
LLama3 ICL_4 (Sem Equiv)	3.12	58.28	0.56	0.0
LLama3 zero-shot (Ex. Same Content)	3.54	58.28	0.57	0.04
LLama3 zero-shot (Paraph)	12.89	43.79	0.43	0.87
LLama3 zero-shot (Sem Equiv)	2.41	62.43	0.59	0.13
XLM-RoBERTa-EN-ALLTHREE-V2-1	34.7	44.67	0.45	13.28
XLM-RoBERTa-EN-ALLTHREE-V2-2	42.78	43.49	0.43	20.35
XLM-RoBERTa-EN-ALLTHREE-V2-3	34.7	46.75	0.47	15.27
XLM-RoBERTa-EN-ALLTHREE-V3-1	38.39	44.67	0.45	18.44
XLM-RoBERTa-EN-ALLTHREE-V3-2	45.75	42.9	0.43	25.51
XLM-RoBERTa-EN-ALLTHREE-V3-3	26.2	47.93	0.48	7.64
XLM-RoBERTa-EN-ALLTHREE-V3-4	31.02	49.41	0.49	10.85
XLM-RoBERTa-EN-ALLTHREE-V4-1	49.15	45.27	0.45	26.07
XLM-RoBERTa-EN-ALLTHREE-V4-2	56.37	42.9	0.41	31.89
XLM-RoBERTa-EN-ALLTHREE-V4-3	46.46	45.86	0.45	21.0
XLM-RoBERTa-EN-EASYNEG-25-V2-1	11.19	59.47	0.58	6.9
XLM-RoBERTa-EN-EASYNEG-25-V2-2	43.06	44.38	0.43	29.41
XLM-RoBERTa-EN-EASYNEG-25-V2-3	38.24	44.38	0.44	24.9
XLM-RoBERTa-EN-EASYNEG-25-V3-1	48.73	42.9	0.41	47.29
XLM-RoBERTa-EN-EASYNEG-25-V3-2	59.21	40.83	0.38	56.05
XLM-RoBERTa-EN-EASYNEG-25-V3-3	49.72	44.08	0.42	42.26
XLM-RoBERTa-EN-EASYNEG-25-V4-1	43.34	43.49	0.42	22.6
XLM-RoBERTa-EN-EASYNEG-25-V4-2	33.0	46.45	0.46	24.38
XLM-RoBERTa-EN-EASYNEG-25-V4-3	56.8	40.83	0.38	40.61
XLM-RoBERTa-EN-EASYNEG-50-V2-1	41.64	42.6	0.41	29.93
XLM-RoBERTa-EN-EASYNEG-50-V2-2	56.09	44.08	0.42	50.93
XLM-RoBERTa-EN-EASYNEG-50-V2-3	37.11	51.48	0.51	26.07
XLM-RoBERTa-EN-EASYNEG-50-V3-1	67.56	36.39	0.31	56.05
XLM-RoBERTa-EN-EASYNEG-50-V3-2	46.74	40.24	0.38	37.48
XLM-RoBERTa-EN-EASYNEG-50-V3-3	65.16	37.87	0.34	49.46
XLM-RoBERTa-EN-EASYNEG-50-V4-1	63.6	41.12	0.38	55.92
XLM-RoBERTa-EN-EASYNEG-50-V4-2	73.23	40.83	0.38	71.11
XLM-RoBERTa-EN-EASYNEG-50-V4-3	79.04	38.76	0.35	79.57
XLM-RoBERTa-EN-EASYNEG-75-V2-1	84.84	37.87	0.34	79.57
XLM-RoBERTa-EN-EASYNEG-75-V2-2	89.66	36.09	0.31	85.42
XLM-RoBERTa-EN-EASYNEG-75-V2-3	97.45	34.62	0.28	93.75
XLM-RoBERTa-EN-EASYNEG-75-V3-1	85.84	37.87	0.34	76.88
XLM-RoBERTa-EN-EASYNEG-75-V3-2	76.91	36.98	0.33	66.51
XLM-RoBERTa-EN-EASYNEG-75-V3-3	63.17	40.83	0.38	52.54
XLM-RoBERTa-EN-EASYNEG-75-V4-1	90.93	36.09	0.31	85.38
XLM-RoBERTa-EN-EASYNEG-75-V4-2	90.37	35.5	0.3	85.99
XLM-RoBERTa-EN-EASYNEG-75-V4-3	88.81	36.39	0.31	83.77
XLM-RoBERTa-EN-ORIG-V2-1	34.56	46.75	0.46	18.87
XLM-RoBERTa-EN-ORIG-V2-2	68.7	39.94	0.37	59.18
XLM-RoBERTa-EN-ORIG-V2-3	24.36	52.66	0.53	12.93
XLM-RoBERTa-EN-ORIG-V3-1	43.48	48.22	0.48	34.32
XLM-RoBERTa-EN-ORIG-V3-2	44.05	46.45	0.46	35.92
XLM-RoBERTa-EN-ORIG-V3-3	58.36	40.83	0.38	54.53
XLM-RoBERTa-EN-ORIG-V4-2	74.93	39.35	0.35	66.29
XLM-RoBERTa-EN-ORIG-V4-3	24.08	53.25	0.53	14.06
XLM-RoBERTa-EN-PARAPH-V2-1	40.65	42.31	0.42	31.28
XLM-RoBERTa-EN-PARAPH-V2-2	86.26	33.73	0.28	84.47
XLM-RoBERTa-EN-PARAPH-V2-3	80.88	34.02	0.3	80.52
XLM-RoBERTa-EN-PARAPH-V3-1	64.59	36.39	0.33	49.15
XLM-RoBERTa-EN-PARAPH-V3-2	54.82	41.72	0.4	35.31
XLM-RoBERTa-EN-PARAPH-V3-3	61.47	38.17	0.36	53.1
XLM-RoBERTa-EN-PARAPH-V4-1	89.66	32.84	0.27	91.5
XLM-RoBERTa-EN-PARAPH-V4-2	76.49	34.32	0.3	72.93
XLM-RoBERTa-EN-PARAPH-V4-3	78.61	37.28	0.33	75.44
XLM-RoBERTa-EN-SAMECONTENT-V2-2	56.37	43.2	0.41	39.05
XLM-RoBERTa-EN-SAMECONTENT-V2-3	61.9	42.6	0.4	47.68
XLM-RoBERTa-EN-SAMECONTENT-V3-1	37.68	48.52	0.48	21.3
XLM-RoBERTa-EN-SAMECONTENT-V3-2	46.03	42.6	0.42	30.15
XLM-RoBERTa-EN-SAMECONTENT-V3-3	43.48	44.08	0.44	25.12
XLM-RoBERTa-EN-SAMECONTENT-V4-1	55.81	42.01	0.41	31.67
XLM-RoBERTa-EN-SAMECONTENT-V4-2	63.03	42.01	0.4	43.86
XLM-RoBERTa-EN-SAMECONTENT-V4-3	56.8	43.79	0.42	37.14
XLM-RoBERTa-EN-SEMEQUIV-V2-1	83.57	36.39	0.31	67.9
XLM-RoBERTa-EN-SEMEQUIV-V2-2	74.36	39.64	0.36	52.71
XLM-RoBERTa-EN-SEMEQUIV-V2-3	88.39	36.09	0.31	74.01
XLM-RoBERTa-EN-SEMEQUIV-V3-1	46.18	45.86	0.46	26.72
XLM-RoBERTa-EN-SEMEQUIV-V3-2	45.61	43.79	0.43	30.07
XLM-RoBERTa-EN-SEMEQUIV-V3-3	56.66	42.9	0.42	42.04
XLM-RoBERTa-EN-SEMEQUIV-V4-1	70.11	41.42	0.39	61.39
XLM-RoBERTa-EN-SEMEQUIV-V4-2	61.9	43.49	0.42	47.94
XLM-RoBERTa-EN-SEMEQUIV-V4-3	70.54	40.83	0.39	52.71
Zero_Shot_ALL_THREE	1.7	63.91	0.6	0.0
Zero_Shot_Majority_vote	4.25	57.69	0.57	0.13
XLM-RoBERTa-EN-ORIG- (Average)	46.57	45.93	0.45	37.01
XLM-RoBERTa-EN-ALLTHREE- (Average)	40.55	45.38	0.45	19.03
XLM-RoBERTa-EN-SAMECONTENT (Average)	52.64	43.6	0.42	34.5
XLM-RoBERTa-EN-PARAPH (Average)	70.38	36.75	0.33	63.74
XLM-RoBERTa-EN-SEMEQUIV (Average)	66.37	41.16	0.39	50.61
XLM-RoBERTa-EN-EASYNEG-25 (Average)	42.59	45.2	0.44	32.71
XLM-RoBERTa-EN-EASYNEG-50 (Average)	58.91	41.49	0.39	50.72
XLM-RoBERTa-EN-EASYNEG-75 (Average)	85.33	36.92	0.32	78.87
